text,severity
"I have a mild, dull headache behind my eyes",LOW

"I feel a bit dizzy when I look up quickly",LOW

"I have a slightly scratchy throat",LOW

"My stomach hurts a little after that greasy meal",LOW

"I stubbed my toe on the table leg",LOW

"I have a small cut from shaving",LOW

"I feel a little tired today despite sleeping well",LOW

"I have mild body aches that aren't specific",LOW

"I feel slightly nauseous in the morning",LOW

"I have a minor rash on my wrist that doesn't itch much",LOW

"I have a runny nose that started this afternoon",LOW

"I have a mild, dry cough that comes and goes",LOW

"I feel a little gassy and bloated",LOW

"My mouth feels dry despite drinking water",LOW

"I have a small blister on my heel",LOW

"I have mild heartburn after dinner",LOW

"I feel slightly bloated after lunch",LOW

"My skin is a little dry and flaky",LOW

"I have a very minor burn from touching a warm pot",LOW

"I have a tiny paper cut on my thumb",LOW

"I have a small scratch on my arm from a bush",LOW

"I have a mild toothache that is intermittent",LOW

"I have a minor bruise on my hip",LOW

"My eyes are slightly itchy from pollen",LOW

"I have a single insect bite on my leg",LOW

"I have a mild earache that feels like pressure",LOW

"I feel a little constipated",LOW

"I have a mild fever of 37.4 
∘
 C",LOW

"I feel a slight chill in a cold room",LOW

"I have a mild stomach cramp that passed quickly",LOW

"I have a light cough that comes and goes",LOW

"I have a few mosquito bites on my arm",LOW

"My ankle is slightly sore from a mild twist",LOW

"I feel a little irritable and moody",LOW

"I have a mild itch on my arm",LOW

"I have a very small blister on my finger",LOW

"I've had a runny nose for a few hours",LOW

"I have a mild backache from sleeping wrong",LOW

"I have a little indigestion after eating",LOW

"I feel hungry and a bit weak",LOW

"I have a fever of 37.9 
∘
 C",LOW

"I have a stuffy nose and sneezed a lot",LOW

"I have a mild cramp in my calf muscle",LOW

"I feel a slight burning sensation when I urinate (very mild)",LOW

"I have a tiny splinter in my finger",LOW

"I have mild muscle tension in my shoulders",LOW

"I feel a bit sensitive to light",LOW

"My eyes are slightly dry and red",LOW

"I feel a little bloated after lunch",LOW

"I have a small bruise on my shin",LOW

"I have a sore spot on my gums",LOW

"I have chapped lips that are a little painful",LOW

"My fingernail is snagged and slightly torn",LOW

"I feel a bit peckish and weak",LOW

"I have a small pimple that is slightly red",LOW

"I have mild muscle soreness from a workout",LOW

"My neck feels a little stiff",LOW

"I have a small hangnail",LOW

"I have a very small, faint cold sore",LOW

"I feel a mild tingle in my foot (foot 'falling asleep')",LOW

"I have a minor scrape on my elbow",LOW

"I have mild eye watering outside",LOW

"I have a very minor nosebleed that stopped quickly",LOW

"I have slightly swollen gums",LOW

"My hair is a little dry and brittle",LOW

"I have a tiny rock stuck in my shoe",LOW

"I have a mild sting from a nettle",LOW

"I feel a bit fatigued in the late afternoon",LOW

"I have mild tension in my jaw",LOW

"I have a small white spot on my tongue (canker sore)",LOW

"My heel is a little cracked",LOW

"I have a very small patch of eczema",LOW

"I have a bit of fuzziness in my vision that goes away when I blink",LOW

"I have mild pain when I chew",LOW

"I feel a little lightheaded from missing a meal",LOW

"I have a mild ache in my lower leg",LOW

"I have a small area of redness on my cheek",LOW

"My voice is slightly hoarse",LOW

"I have a minor itch in my inner ear",LOW

"I feel a bit jittery from too much coffee",LOW

"I have a minor tension headache",LOW

"I feel a slight ringing in my ears",LOW

"I have a sore bump on my forehead",LOW

"My stomach is making funny noises",LOW

"I have a tiny splinter under my nail",LOW

