"text","severity"
"I have severe pain and redness in my arm where an IV used to be (phlebitis)","HIGH"
"I have severe, rapidly worsening abdominal pain in a specific area","HIGH"
"Can I book an appointment at the clinic","LOW"
"I have mild tension in my jaw","LOW"
"I have difficulty speaking and am very weak after an insect sting","HIGH"
"I have fever and chills after recent foreign travel or tick bite","HIGH"
"I can't breathe properly and am making a high-pitched noise (stridor)","CRITICAL"
"I have strong ear pain with a headache and fever","MEDIUM"
"I have a severe burn that is circumferential (all the way around a limb)","HIGH"
"I have blood in my diarrhea that is a significant amount","HIGH"
"Shortness of breath when walking upstairs, new symptom","MEDIUM"
"Fever and rash together","MEDIUM"
"Heartburn not improving despite antacids","MEDIUM"
"I have severe difficulty breathing and am foaming at the mouth","CRITICAL"
"Persistent ear pain in my child","MEDIUM"
"I am unable to move my arms or legs after a neck injury","CRITICAL"
"I have a deep puncture wound to my side that is oozing dark fluid","CRITICAL"
"I have difficulty speaking and my voice sounds raspy and muffled","HIGH"
"I feel a bit confused about the time of day","LOW"
"I have a sore throat and a fever of $38.5^\circ C$","MEDIUM"
"I've had a runny nose for a few hours","LOW"
"I have severe abdominal pain that started after heavy drinking","CRITICAL"
"I am experiencing noticeable shortness of breath when talking on the phone","MEDIUM"
"I have severe headache with visual aura that lasts more than an hour","HIGH"
"I have mild muscle tension in my shoulders","LOW"
"Minor sprain, can still walk, mild swelling","LOW"
"I have pronounced dizziness and feel like I need to grab onto things","MEDIUM"
"I have sudden, total deafness in one ear","HIGH"
"I have swelling in my ankle after twisting it, and it's difficult to walk normally","MEDIUM"
"I fainted and was unconscious for several minutes","CRITICAL"
"I am having continuous seizures that are lasting longer than five minutes (Status Epilepticus)","CRITICAL"
"I have severe pain and inability to move my elbow after a fall","HIGH"
"I am unresponsive and my body temperature is dangerously low (hypothermia)","CRITICAL"
"I have a sudden, thunderclap headache (described as the 'worst ever')","HIGH"
"I have vomited repeatedly and am showing signs of severe dehydration (sunken eyes, no tears)","HIGH"
