"text","severity"
"Mild sore throat, no difficulty swallowing","LOW"
"Fever of 40 degrees celsius","HIGH"
"Bell's palsy, one side of my face drooped this morning","MEDIUM"
"Severe abdominal pain after eating, cholecystitis","HIGH"
"Stiff neck from sleeping awkwardly","LOW"
"Second degree burn from boiling water, blistering all over arm","HIGH"
"Sudden face drooping, arm weakness, and slurred speech","CRITICAL"
"My throat is swelling shut after eating peanuts","CRITICAL"
"Thirsty and slightly dehydrated","LOW"
"Mild sunburn on my shoulders","LOW"
"She overdosed on purpose and is barely conscious","CRITICAL"
"Drug overdose, he took everything in the cabinet","CRITICAL"
"Wound not healing after 5 days, getting worse","MEDIUM"
"Bowel obstruction, severe cramping and no bowel movement for 3 days","HIGH"
"Symptoms of sexually transmitted infection","MEDIUM"
"I need to schedule a check-up","LOW"
"I would like to book an appointment","LOW"
"My child is having a seizure and won't stop","CRITICAL"
"Slight nausea this morning, no vomiting","LOW"
"Severe asthma, can barely speak","HIGH"
"Severe croup in child with significant stridor","HIGH"
"Going to the toilet slightly more than usual","LOW"
"Severe hypothermia, core temperature below 30","CRITICAL"
"Memory confusion in my elderly father that's new","MEDIUM"
"Severe abdominal cramps with diarrhoea","MEDIUM"
"Torn rotator cuff, shoulder is in severe pain","HIGH"
"I fractured my ankle and can't walk","HIGH"
"New onset atrial fibrillation","HIGH"
"Severe chest pain, my left arm is numb and I'm sweating","CRITICAL"
"Penetrating chest wound from a knife","CRITICAL"
"Severe eczema flare across my body","MEDIUM"
"Abdominal pain not severe but persistent for two days","MEDIUM"
"Sore muscles after gym yesterday","LOW"
"Minor stomach discomfort after eating","LOW"
"High fever above 39 degrees for two days","HIGH"
"I have a mild headache today","LOW"
"New lump under my arm that appeared last week","MEDIUM"
"Bacterial meningitis, stiff neck and fever and sensitivity to light","HIGH"
"Pelvic pain for 2 days","MEDIUM"
"Sudden arm weakness and numbness","HIGH"
"I had a stroke, I can't lift my arm and my face is drooping","CRITICAL"
"Blood in my stool this morning","MEDIUM"
"Bleeding won't stop from a deep cut","HIGH"
"Severe manic episode putting herself in danger","HIGH"
"Sudden hearing loss in one ear this morning","MEDIUM"
"DKA unconscious, breathing like Kussmaul","CRITICAL"
"Penetrating eye injury","HIGH"
"Wound too deep for home care, still bleeding","HIGH"
"Seizure followed by unconsciousness","CRITICAL"
"I fractured my wrist when I fell","HIGH"
"Third degree burn, skin looks white and leathery","HIGH"
"I want to die and I have the means to do it","CRITICAL"
"Convulsions and not breathing properly","CRITICAL"
"I think I'm having a stroke, my face is drooping and I can't speak","CRITICAL"
"Feeling a little low after a difficult week","LOW"
"Can I book an appointment at the clinic","LOW"
"Open skull fracture after fall","CRITICAL"
"My blood pressure is 210/130 and I have a splitting headache","CRITICAL"
"Cellulitis spreading up my arm","MEDIUM"
"Vomiting large amounts of blood repeatedly","CRITICAL"
"Anaphylactic shock, epipen used but still struggling to breathe","CRITICAL"
"Sudden vision loss in one eye","HIGH"
"Dry skin on my hands and arms","LOW"
"Feeling a bit run down","LOW"
"Heartburn not improving despite antacids","MEDIUM"
"Back pain limiting my movement","MEDIUM"
"Urinary retention, can't pass urine and bladder full and painful","HIGH"
"Separated shoulder after falling on my arm","HIGH"
"Severe burn from fire, large area affected","HIGH"
"Persistent stomach pain that comes and goes","MEDIUM"
"I tore my Achilles tendon while running, heard a snap","HIGH"
"Black stools and feeling faint","HIGH"
"Just need a general health check","LOW"
"Headache getting worse over two days","MEDIUM"
"Not sleeping for days, it's affecting my health","MEDIUM"
"Deep laceration that won't stop bleeding after 20 minutes","HIGH"
"New facial drooping on the right side","HIGH"
"Slight blocked ear after flying","LOW"
"Minor earache without fever","LOW"
"Stiff neck with high fever and headache","HIGH"
"Vomited twice after hitting my head","HIGH"
"Eye very red with discharge for 2 days","MEDIUM"
"Malaria with very high fever after travel to endemic area","HIGH"
"Chest pain so severe I can't breathe, spreading to my jaw","CRITICAL"
"Ruptured ectopic pregnancy, severe pain and shoulder tip pain","CRITICAL"
"I think I've broken my finger, it's swollen and I can't move it","HIGH"
"Hay fever, itchy eyes and runny nose","LOW"
"Baby has a fever and is very floppy and difficult to rouse","HIGH"
"Internal bleeding after abdominal trauma","CRITICAL"
"Dislocated elbow playing sport","HIGH"
"Fractured ribs after the fall","HIGH"
"Calf pain and swelling, worried about DVT","MEDIUM"
"My son fell and is unconscious, won't wake up","CRITICAL"
"Minor bruise on my shin","LOW"
"Felt a pop in my knee and can't straighten it","HIGH"
"Carbon monoxide poisoning, entire family collapsed","CRITICAL"
"Massive postpartum haemorrhage after delivery","CRITICAL"
"Cough with yellow and green phlegm for several days","MEDIUM"
"Diabetic coma, found unconscious with sugar meter reading high","CRITICAL"
"Rabies exposure from an animal bite","HIGH"
"Urinary tract infection not improving with fluids","MEDIUM"
"Meningitis, stiff neck high fever and rash that doesn't fade","CRITICAL"
"Severe kidney infection with high fever and back pain","HIGH"
"I am actively suicidal with a plan","CRITICAL"
"Torn ACL in my knee, felt a pop and can't put weight on it","HIGH"
"Black stool without fresh blood","MEDIUM"
"Anaemia symptoms, very pale and breathless walking upstairs","MEDIUM"
"I've already hurt myself badly and there's a lot of blood","CRITICAL"
"Breathing difficulty in a child with stridor and grunting","HIGH"
"Appendicitis, severe pain in lower right abdomen with fever","HIGH"
"Foreign body stuck in airway, partial blockage","HIGH"
"Necrotising fasciitis, rapidly spreading infection with purple skin","HIGH"
"Pulmonary embolism suspected, shortness of breath and leg swelling","HIGH"
"I think I'm having a massive heart attack","CRITICAL"
"Minor eye irritation from dust","LOW"
"I broke my toe, it's very swollen and bent","HIGH"
"My husband collapsed, he's not breathing and has no pulse","CRITICAL"
"Acute glaucoma, sudden eye pain with halos around lights","HIGH"
"Recurrent nosebleeds this week","MEDIUM"
"Asthma attack not responding to inhaler","HIGH"
"Recurring headaches for a week now","MEDIUM"
"Toxic shock syndrome after surgery","CRITICAL"
"Fever over 40 and very confused","HIGH"
"Severe muscle strain, can't straighten my back","MEDIUM"
"Snake bite with spreading swelling and vomiting","CRITICAL"
"Ear blocked and painful for several days","MEDIUM"
"Heavy bleeding in pregnancy","HIGH"
"Undiagnosed rash with mild fever","MEDIUM"
"Airways completely blocked, she's turning blue","CRITICAL"
"Chest pressure with shortness of breath","HIGH"
"Severe depression, can't get out of bed for 2 weeks","MEDIUM"
"Kidney stone, severe loin to groin pain","HIGH"
"Painful vaginal discharge with fever","MEDIUM"
"Mild lower back ache at end of day","LOW"
"I feel a little dizzy after standing up quickly","LOW"
"Fever of 38.5 for two days without improvement","MEDIUM"
"Mild pneumonia, stable but need treatment","MEDIUM"
"Priapism, erection for 5 hours and very painful","HIGH"
"Panic attacks every day affecting my work","MEDIUM"
"Ingested poison, don't know what","CRITICAL"
"Blood pressure 180 over 110, severe headache","HIGH"
"Slight tension headache at the back of my head","LOW"
"Severe anaphylaxis, throat is closing, can't breathe","CRITICAL"
"Jaundice, my skin and eyes are yellow","MEDIUM"
"Brain bleed symptoms, sudden severe headache and confusion","CRITICAL"
"Coughing up blood repeatedly","HIGH"
"She's fitting and not responding","CRITICAL"
"Status epilepticus, seizure lasting more than 5 minutes","CRITICAL"
"Viral illness not improving after 6 days","MEDIUM"
"Ovarian torsion, sudden severe pelvic pain","HIGH"
"UTI with fever and back pain","MEDIUM"
"My pregnant wife is having a seizure","CRITICAL"
"My collarbone is broken after the accident","HIGH"
"Mild ear discomfort, no pain","LOW"
"Extreme fatigue with no explanation for weeks","MEDIUM"
"Aortic dissection, sudden tearing chest pain radiating to back","CRITICAL"
"Toddler with diarrhoea and vomiting for 2 days, mild dehydration","MEDIUM"
"My knee is dislocated, it looks completely out of place","HIGH"
"Preterm labour at 30 weeks","HIGH"
"Mild constipation for one day","LOW"
"Nausea and vomiting for 24 hours straight","MEDIUM"
"Anxiety so bad I can't leave the house","MEDIUM"
"Organophosphate poisoning after working with pesticides","CRITICAL"
"My bone snapped, I heard it break","HIGH"
"My blood pressure has been consistently high all week","MEDIUM"
"Fell from a second floor roof","CRITICAL"
"Sepsis, high fever and confused and fast breathing","HIGH"
"Small cut on my finger, bleeding stopped","LOW"
"Retinal detachment, seeing flashes and a shadow in vision","HIGH"
"Broken arm after falling off a bicycle","HIGH"
"Persistent palpitations for the past 2 days","MEDIUM"
"I can't breathe at all, airway is blocked","CRITICAL"
"Sudden severe headache unlike any before","HIGH"
"Arterial bleed, blood spurting with each heartbeat","CRITICAL"
"Blue lips from lack of oxygen","HIGH"
